Date, Price 
25-Feb-20,1599
26-Feb-20,1599
27-Feb-20,1603
28-Feb-20,1603
02-Mar-20,1562
03-Mar-20,1558
04-Mar-20,1533
05-Mar-20,1533
06-Mar-20,1473
09-Mar-20,1477
10-Mar-20,1447
11-Mar-20,1447
12-Mar-20,1447
13-Mar-20,1447
16-Mar-20,1448
17-Mar-20,1448
18-Mar-20,1448
19-Mar-20,1448
20-Mar-20,1448
23-Mar-20,1478
24-Mar-20,1478
25-Mar-20,1478
26-Mar-20,1478
27-Mar-20,1478
30-Mar-20,1476
31-Mar-20,1476
01-Apr-20,1435
02-Apr-20,1398
03-Apr-20,1398
06-Apr-20,1402
07-Apr-20,1402
08-Apr-20,1390
09-Apr-20,1400
10-Apr-20,1400
13-Apr-20,1400
14-Apr-20,1385
15-Apr-20,1430
16-Apr-20,1423
17-Apr-20,1422
20-Apr-20,1376
21-Apr-20,1376
22-Apr-20,1376
23-Apr-20,1376
24-Apr-20,1400
27-Apr-20,1400
28-Apr-20,1400
29-Apr-20,1400
30-Apr-20,1400
01-May-20,1432
04-May-20,1464
05-May-20,1466
06-May-20,1466
07-May-20,1405
08-May-20,1405
11-May-20,1405
12-May-20,1405
13-May-20,1405
14-May-20,1405
15-May-20,1458
18-May-20,1476
19-May-20,1475
20-May-20,1486
21-May-20,1473
22-May-20,1468
25-May-20,1468
26-May-20,1468
27-May-20,1468
28-May-20,1473
29-May-20,1473
01-Jun-20,1567
02-Jun-20,1589
03-Jun-20,1589
04-Jun-20,1589
05-Jun-20,1589
08-Jun-20,1652
09-Jun-20,1652
10-Jun-20,1652
11-Jun-20,1646
12-Jun-20,1646
15-Jun-20,1645
16-Jun-20,1626
17-Jun-20,1626
18-Jun-20,1626
19-Jun-20,1626
22-Jun-20,1621
23-Jun-20,1612
24-Jun-20,1612
25-Jun-20,1612
26-Jun-20,1612
29-Jun-20,1607
30-Jun-20,1607
01-Jul-20,1727
02-Jul-20,1727
03-Jul-20,1733
06-Jul-20,1745
07-Jul-20,1745
08-Jul-20,1725
09-Jul-20,1723
10-Jul-20,1723
13-Jul-20,1724
14-Jul-20,1724
15-Jul-20,1724
16-Jul-20,1724
17-Jul-20,1724
20-Jul-20,1724
21-Jul-20,1724
22-Jul-20,1679
23-Jul-20,1679
24-Jul-20,1679
27-Jul-20,1679
28-Jul-20,1679
29-Jul-20,1679
30-Jul-20,1679
31-Jul-20,1679
03-Aug-20,1726
04-Aug-20,1726
05-Aug-20,1687
06-Aug-20,1687
07-Aug-20,1693
10-Aug-20,1699
11-Aug-20,1699
12-Aug-20,1710
13-Aug-20,1684
14-Aug-20,1684
17-Aug-20,1698
18-Aug-20,1698
19-Aug-20,1705
20-Aug-20,1705
21-Aug-20,1716
24-Aug-20,1721
25-Aug-20,1702
26-Aug-20,1702
27-Aug-20,1702
28-Aug-20,1702
31-Aug-20,1702
01-Sep-20,1794
02-Sep-20,1794
03-Sep-20,1800
04-Sep-20,1815
07-Sep-20,1815
08-Sep-20,1866
09-Sep-20,1866
10-Sep-20,1886
11-Sep-20,1903
14-Sep-20,1903
15-Sep-20,2047
16-Sep-20,2047
17-Sep-20,2047
18-Sep-20,2214
21-Sep-20,2214
22-Sep-20,2214
23-Sep-20,2199
24-Sep-20,2199
25-Sep-20,2199
28-Sep-20,2167
29-Sep-20,2167
30-Sep-20,2167
01-Oct-20,2294
02-Oct-20,2294
05-Oct-20,2160
06-Oct-20,2160
07-Oct-20,2160
08-Oct-20,2160
09-Oct-20,2160
12-Oct-20,2160
13-Oct-20,2160
14-Oct-20,2160
15-Oct-20,2127
16-Oct-20,2124
19-Oct-20,2117
20-Oct-20,2125
21-Oct-20,2125
22-Oct-20,2117
23-Oct-20,2119
26-Oct-20,2119
27-Oct-20,2119
28-Oct-20,2119
29-Oct-20,2119
30-Oct-20,2119
02-Nov-20,2206
03-Nov-20,2210
04-Nov-20,2235
05-Nov-20,2210
06-Nov-20,2210
09-Nov-20,2232
10-Nov-20,2254
11-Nov-20,2254
12-Nov-20,2292
13-Nov-20,2294
16-Nov-20,2402
17-Nov-20,2443
18-Nov-20,2564
19-Nov-20,2564
20-Nov-20,2549
23-Nov-20,2683
24-Nov-20,2683
25-Nov-20,2720
26-Nov-20,2722
27-Nov-20,2722
30-Nov-20,2772
01-Dec-20,3470
02-Dec-20,3525
03-Dec-20,3748
04-Dec-20,3699
07-Dec-20,3748
08-Dec-20,3797
09-Dec-20,3797
10-Dec-20,3797
11-Dec-20,3797
14-Dec-20,3859
15-Dec-20,4418
16-Dec-20,4591
17-Dec-20,4591
18-Dec-20,4712
21-Dec-20,4712
22-Dec-20,4755
23-Dec-20,4820
24-Dec-20,4882
25-Dec-20,5634
28-Dec-20,5634
29-Dec-20,5662
30-Dec-20,5662
31-Dec-20,5662
01-Jan-21,6992
04-Jan-21,6992
05-Jan-21,6992
06-Jan-21,7340
07-Jan-21,7412
08-Jan-21,7731
11-Jan-21,7702
12-Jan-21,7652
13-Jan-21,7652
14-Jan-21,7652
15-Jan-21,7844
18-Jan-21,7865
19-Jan-21,7865
20-Jan-21,7832
21-Jan-21,7578
22-Jan-21,7825
25-Jan-21,7825
26-Jan-21,7825
27-Jan-21,7825
28-Jan-21,7830
29-Jan-21,7830
01-Feb-21,7924
02-Feb-21,7924
03-Feb-21,7942
04-Feb-21,7942
05-Feb-21,7961
08-Feb-21,7961
09-Feb-21,7961
10-Feb-21,7961
11-Feb-21,8455
12-Feb-21,8455
15-Feb-21,8455
16-Feb-21,8455
17-Feb-21,8455
18-Feb-21,8455
19-Feb-21,8327
22-Feb-21,8309
23-Feb-21,8309
24-Feb-21,8309
25-Feb-21,8306
26-Feb-21,8306
01-Mar-21,8383
02-Mar-21,7921
03-Mar-21,7921
04-Mar-21,7921
05-Mar-21,7874
08-Mar-21,7948
09-Mar-21,7948
10-Mar-21,7948
11-Mar-21,7942
12-Mar-21,7942
15-Mar-21,7687
16-Mar-21,7687
17-Mar-21,7677
18-Mar-21,7684
19-Mar-21,7590
22-Mar-21,7464
23-Mar-21,7513
24-Mar-21,7513
25-Mar-21,7513
26-Mar-21,7423
29-Mar-21,7423
30-Mar-21,7423
31-Mar-21,7423
01-Apr-21,7299
