Date, Price 
25-Feb-20,1330
26-Feb-20,1331
27-Feb-20,1331
28-Feb-20,1332
02-Mar-20,1370
03-Mar-20,1363
04-Mar-20,1355
05-Mar-20,1355
06-Mar-20,1347
09-Mar-20,1352
10-Mar-20,1350
11-Mar-20,1347
12-Mar-20,1341
13-Mar-20,1329
16-Mar-20,1356
17-Mar-20,1358
18-Mar-20,1385
19-Mar-20,1392
20-Mar-20,1392
23-Mar-20,1403
24-Mar-20,1406
25-Mar-20,1398
26-Mar-20,1396
27-Mar-20,1395
30-Mar-20,1410
31-Mar-20,1413
01-Apr-20,1446
02-Apr-20,1446
03-Apr-20,1448
06-Apr-20,1459
07-Apr-20,1465
08-Apr-20,1501
09-Apr-20,1469
10-Apr-20,1470
13-Apr-20,1473
14-Apr-20,1461
15-Apr-20,1470
16-Apr-20,1467
17-Apr-20,1466
20-Apr-20,1457
21-Apr-20,1438
22-Apr-20,1429
23-Apr-20,1433
24-Apr-20,1438
27-Apr-20,1442
28-Apr-20,1441
29-Apr-20,1442
30-Apr-20,1453
01-May-20,1480
04-May-20,1487
05-May-20,1486
06-May-20,1486
07-May-20,1479
08-May-20,1495
11-May-20,1497
12-May-20,1493
13-May-20,1486
14-May-20,1481
15-May-20,1477
18-May-20,1472
19-May-20,1472
20-May-20,1477
21-May-20,1474
22-May-20,1461
25-May-20,1456
26-May-20,1456
27-May-20,1460
28-May-20,1461
29-May-20,1465
01-Jun-20,1541
02-Jun-20,1546
03-Jun-20,1551
04-Jun-20,1556
05-Jun-20,1585
08-Jun-20,1669
09-Jun-20,1669
10-Jun-20,1675
11-Jun-20,1674
12-Jun-20,1682
15-Jun-20,1743
16-Jun-20,1746
17-Jun-20,1767
18-Jun-20,1773
19-Jun-20,1810
22-Jun-20,1795
23-Jun-20,1785
24-Jun-20,1782
25-Jun-20,1781
26-Jun-20,1781
29-Jun-20,1778
30-Jun-20,1780
01-Jul-20,1817
02-Jul-20,1840
03-Jul-20,1847
06-Jul-20,1864
07-Jul-20,1862
08-Jul-20,1866
09-Jul-20,1862
10-Jul-20,1843
13-Jul-20,1838
14-Jul-20,1835
15-Jul-20,1802
16-Jul-20,1802
17-Jul-20,1803
20-Jul-20,1800
21-Jul-20,1798
22-Jul-20,1769
23-Jul-20,1764
24-Jul-20,1764
27-Jul-20,1763
28-Jul-20,1764
29-Jul-20,1762
30-Jul-20,1761
31-Jul-20,1761
03-Aug-20,1797
04-Aug-20,1798
05-Aug-20,1845
06-Aug-20,1846
07-Aug-20,1855
10-Aug-20,1852
11-Aug-20,1852
12-Aug-20,1851
