Date, Price 
25-Feb-20,382
26-Feb-20,389
27-Feb-20,393
28-Feb-20,399
02-Mar-20,400
03-Mar-20,408
04-Mar-20,407
05-Mar-20,411
06-Mar-20,411
09-Mar-20,384
10-Mar-20,384
11-Mar-20,384
12-Mar-20,343
13-Mar-20,352
16-Mar-20,352
17-Mar-20,352
18-Mar-20,354
19-Mar-20,354
20-Mar-20,354
23-Mar-20,354
24-Mar-20,365
25-Mar-20,365
26-Mar-20,365
27-Mar-20,365
30-Mar-20,365
31-Mar-20,414
01-Apr-20,437
02-Apr-20,433
03-Apr-20,433
06-Apr-20,447
07-Apr-20,447
08-Apr-20,444
09-Apr-20,440
10-Apr-20,445
13-Apr-20,452
14-Apr-20,440
15-Apr-20,440
16-Apr-20,440
17-Apr-20,432
20-Apr-20,432
21-Apr-20,432
22-Apr-20,432
23-Apr-20,451
24-Apr-20,451
27-Apr-20,463
28-Apr-20,460
29-Apr-20,460
30-Apr-20,460
01-May-20,484
04-May-20,484
05-May-20,484
06-May-20,462
07-May-20,458
08-May-20,448
11-May-20,444
12-May-20,444
13-May-20,444
14-May-20,446
15-May-20,446
18-May-20,443
19-May-20,443
20-May-20,440
21-May-20,440
22-May-20,445
25-May-20,452
26-May-20,452
27-May-20,470
28-May-20,470
29-May-20,470
01-Jun-20,469
02-Jun-20,469
03-Jun-20,469
04-Jun-20,470
05-Jun-20,479
08-Jun-20,475
09-Jun-20,475
10-Jun-20,475
11-Jun-20,475
12-Jun-20,475
15-Jun-20,504
16-Jun-20,514
17-Jun-20,504
18-Jun-20,504
19-Jun-20,503
22-Jun-20,501
23-Jun-20,501
24-Jun-20,496
25-Jun-20,496
26-Jun-20,496
29-Jun-20,511
30-Jun-20,511
01-Jul-20,529
02-Jul-20,521
03-Jul-20,521
06-Jul-20,512
07-Jul-20,512
08-Jul-20,474
09-Jul-20,474
10-Jul-20,471
13-Jul-20,452
14-Jul-20,452
15-Jul-20,452
16-Jul-20,449
17-Jul-20,449
20-Jul-20,449
21-Jul-20,449
22-Jul-20,449
23-Jul-20,440
24-Jul-20,440
27-Jul-20,440
28-Jul-20,440
29-Jul-20,440
30-Jul-20,440
31-Jul-20,440
03-Aug-20,440
04-Aug-20,440
05-Aug-20,440
06-Aug-20,440
07-Aug-20,451
10-Aug-20,413
11-Aug-20,405
12-Aug-20,405
13-Aug-20,405
14-Aug-20,409
17-Aug-20,409
18-Aug-20,421
19-Aug-20,421
20-Aug-20,421
21-Aug-20,425
24-Aug-20,425
25-Aug-20,421
26-Aug-20,421
27-Aug-20,421
28-Aug-20,428
31-Aug-20,428
01-Sep-20,424
02-Sep-20,424
03-Sep-20,424
04-Sep-20,443
07-Sep-20,420
08-Sep-20,420
09-Sep-20,420
10-Sep-20,416
11-Sep-20,416
14-Sep-20,416
15-Sep-20,416
16-Sep-20,416
17-Sep-20,416
18-Sep-20,420
21-Sep-20,420
22-Sep-20,420
23-Sep-20,408
24-Sep-20,408
25-Sep-20,408
28-Sep-20,406
29-Sep-20,406
30-Sep-20,406
01-Oct-20,406
02-Oct-20,406
05-Oct-20,406
06-Oct-20,399
07-Oct-20,399
08-Oct-20,400
09-Oct-20,402
12-Oct-20,400
13-Oct-20,400
14-Oct-20,400
15-Oct-20,400
16-Oct-20,400
19-Oct-20,400
20-Oct-20,400
21-Oct-20,400
22-Oct-20,411
23-Oct-20,411
26-Oct-20,411
27-Oct-20,411
28-Oct-20,411
29-Oct-20,407
30-Oct-20,407
02-Nov-20,407
03-Nov-20,407
04-Nov-20,407
05-Nov-20,407
06-Nov-20,407
09-Nov-20,388
10-Nov-20,403
11-Nov-20,403
12-Nov-20,391
13-Nov-20,391
16-Nov-20,391
17-Nov-20,391
18-Nov-20,391
19-Nov-20,391
20-Nov-20,391
23-Nov-20,391
24-Nov-20,391
25-Nov-20,391
26-Nov-20,391
27-Nov-20,463
30-Nov-20,471
01-Dec-20,501
