Date, Price 
25-Feb-20,690
26-Feb-20,690
27-Feb-20,690
28-Feb-20,690
02-Mar-20,1004
03-Mar-20,1010
04-Mar-20,1010
05-Mar-20,1008
06-Mar-20,1008
09-Mar-20,1026
10-Mar-20,1026
11-Mar-20,1029
12-Mar-20,1029
13-Mar-20,1029
16-Mar-20,1031
17-Mar-20,1031
18-Mar-20,1031
19-Mar-20,1031
20-Mar-20,1031
23-Mar-20,1063
24-Mar-20,1081
25-Mar-20,1081
26-Mar-20,1081
27-Mar-20,1087
30-Mar-20,1087
31-Mar-20,1087
01-Apr-20,1300
02-Apr-20,1300
03-Apr-20,1300
06-Apr-20,1312
07-Apr-20,1375
08-Apr-20,1428
09-Apr-20,1428
10-Apr-20,1435
13-Apr-20,1445
14-Apr-20,1445
15-Apr-20,1456
16-Apr-20,1456
17-Apr-20,1427
20-Apr-20,1427
21-Apr-20,1427
22-Apr-20,1422
23-Apr-20,1422
24-Apr-20,1422
27-Apr-20,1422
28-Apr-20,1422
29-Apr-20,1422
30-Apr-20,1422
01-May-20,1420
04-May-20,1424
05-May-20,1424
06-May-20,1423
07-May-20,1423
08-May-20,1410
11-May-20,1386
12-May-20,1386
13-May-20,1386
14-May-20,1386
15-May-20,1386
18-May-20,1386
19-May-20,1386
20-May-20,1386
21-May-20,1386
22-May-20,1386
25-May-20,1374
26-May-20,1374
27-May-20,1374
28-May-20,1374
29-May-20,1374
01-Jun-20,1434
02-Jun-20,1434
03-Jun-20,1434
04-Jun-20,1434
05-Jun-20,1434
08-Jun-20,1492
09-Jun-20,1492
10-Jun-20,1492
11-Jun-20,1492
12-Jun-20,1492
15-Jun-20,1492
16-Jun-20,1492
17-Jun-20,1491
18-Jun-20,1491
19-Jun-20,1491
22-Jun-20,1491
23-Jun-20,1491
24-Jun-20,1491
25-Jun-20,1491
26-Jun-20,1491
29-Jun-20,1448
30-Jun-20,1448
01-Jul-20,1421
02-Jul-20,1421
03-Jul-20,1418
06-Jul-20,1425
07-Jul-20,1388
08-Jul-20,1409
09-Jul-20,1395
10-Jul-20,1395
13-Jul-20,1395
14-Jul-20,1395
15-Jul-20,1395
16-Jul-20,1395
17-Jul-20,1395
20-Jul-20,1395
21-Jul-20,1395
22-Jul-20,1395
23-Jul-20,1395
24-Jul-20,1395
27-Jul-20,1395
28-Jul-20,1395
29-Jul-20,1395
30-Jul-20,1395
31-Jul-20,1395
03-Aug-20,1359
04-Aug-20,1359
05-Aug-20,1359
06-Aug-20,1359
07-Aug-20,1347
10-Aug-20,1261
11-Aug-20,1261
12-Aug-20,1261
13-Aug-20,1236
14-Aug-20,1236
17-Aug-20,1240
18-Aug-20,1240
19-Aug-20,1250
20-Aug-20,1221
21-Aug-20,1221
24-Aug-20,1221
25-Aug-20,1221
26-Aug-20,1221
27-Aug-20,1221
28-Aug-20,1221
31-Aug-20,1221
01-Sep-20,1165
02-Sep-20,1157
03-Sep-20,1061
04-Sep-20,1061
07-Sep-20,1052
08-Sep-20,1060
09-Sep-20,1068
10-Sep-20,1051
11-Sep-20,1051
14-Sep-20,1075
15-Sep-20,1075
16-Sep-20,1075
17-Sep-20,1075
18-Sep-20,1075
21-Sep-20,1075
22-Sep-20,1075
23-Sep-20,1075
24-Sep-20,1075
25-Sep-20,1075
28-Sep-20,1075
29-Sep-20,1075
30-Sep-20,1075
01-Oct-20,1030
02-Oct-20,1030
05-Oct-20,1030
06-Oct-20,1030
07-Oct-20,1030
08-Oct-20,989
09-Oct-20,989
12-Oct-20,989
13-Oct-20,989
14-Oct-20,989
15-Oct-20,989
16-Oct-20,989
19-Oct-20,989
20-Oct-20,989
21-Oct-20,989
22-Oct-20,989
23-Oct-20,989
26-Oct-20,989
27-Oct-20,989
28-Oct-20,989
29-Oct-20,1030
30-Oct-20,1030
02-Nov-20,1030
03-Nov-20,1030
04-Nov-20,1030
05-Nov-20,1030
06-Nov-20,1038
09-Nov-20,1069
10-Nov-20,1069
11-Nov-20,1069
12-Nov-20,1156
13-Nov-20,1156
16-Nov-20,1156
17-Nov-20,1154
18-Nov-20,1154
19-Nov-20,1170
20-Nov-20,1170
23-Nov-20,1170
24-Nov-20,1170
25-Nov-20,1170
26-Nov-20,1088
27-Nov-20,1086
30-Nov-20,1109
01-Dec-20,1263
02-Dec-20,1308
03-Dec-20,1309
04-Dec-20,1304
07-Dec-20,1310
08-Dec-20,1383
09-Dec-20,1383
10-Dec-20,1383
11-Dec-20,1383
14-Dec-20,1375
15-Dec-20,1375
16-Dec-20,1375
17-Dec-20,1375
18-Dec-20,1375
21-Dec-20,1375
22-Dec-20,1375
23-Dec-20,1375
24-Dec-20,1375
25-Dec-20,1375
28-Dec-20,1375
29-Dec-20,1375
30-Dec-20,1375
31-Dec-20,1375
01-Jan-21,1357
04-Jan-21,1357
05-Jan-21,1357
06-Jan-21,1357
07-Jan-21,1325
08-Jan-21,1300
11-Jan-21,1354
12-Jan-21,1405
13-Jan-21,1405
14-Jan-21,1405
15-Jan-21,1405
18-Jan-21,1421
19-Jan-21,1421
20-Jan-21,1421
21-Jan-21,1421
22-Jan-21,1421
25-Jan-21,1445
26-Jan-21,1455
27-Jan-21,1468
28-Jan-21,1468
29-Jan-21,1468
01-Feb-21,1498
02-Feb-21,1498
03-Feb-21,1498
04-Feb-21,1480
05-Feb-21,1480
08-Feb-21,1488
09-Feb-21,1488
10-Feb-21,1488
11-Feb-21,1488
12-Feb-21,1488
15-Feb-21,1488
16-Feb-21,1488
17-Feb-21,1488
18-Feb-21,1488
19-Feb-21,1488
22-Feb-21,1488
23-Feb-21,1488
24-Feb-21,1501
25-Feb-21,1501
26-Feb-21,1501
01-Mar-21,1465
02-Mar-21,1488
03-Mar-21,1488
04-Mar-21,1488
05-Mar-21,1488
08-Mar-21,1553
09-Mar-21,1553
10-Mar-21,1553
11-Mar-21,1553
12-Mar-21,1553
15-Mar-21,1529
16-Mar-21,1529
17-Mar-21,1529
18-Mar-21,1529
19-Mar-21,1529
22-Mar-21,1529
23-Mar-21,1529
24-Mar-21,1529
25-Mar-21,1532
26-Mar-21,1532
29-Mar-21,1532
30-Mar-21,1532
31-Mar-21,1532
01-Apr-21,1536
02-Apr-21,1541
05-Apr-21,1541
06-Apr-21,1541
07-Apr-21,1538
08-Apr-21,1516
09-Apr-21,1516
12-Apr-21,1516
13-Apr-21,1516
14-Apr-21,1516
15-Apr-21,1516
16-Apr-21,1516
19-Apr-21,1516
20-Apr-21,1518
21-Apr-21,1518
22-Apr-21,1518
23-Apr-21,1518
26-Apr-21,1547
27-Apr-21,1547
28-Apr-21,1547
29-Apr-21,1542
30-Apr-21,1542
03-May-21,1660
04-May-21,1747
05-May-21,1747
06-May-21,1747
07-May-21,1753
10-May-21,1767
11-May-21,1737
12-May-21,1737
13-May-21,1753
14-May-21,1753
17-May-21,1753
18-May-21,1753
19-May-21,1753
20-May-21,1753
21-May-21,1753
24-May-21,1753
25-May-21,1753
26-May-21,1753
27-May-21,1753
28-May-21,1753
31-May-21,1753
01-Jun-21,1742
02-Jun-21,1739
03-Jun-21,1739
04-Jun-21,1739
07-Jun-21,1762
08-Jun-21,1659
09-Jun-21,1659
10-Jun-21,1659
11-Jun-21,1659
14-Jun-21,1625
15-Jun-21,1625
16-Jun-21,1625
17-Jun-21,1625
18-Jun-21,1625
21-Jun-21,1625
22-Jun-21,1625
23-Jun-21,1625
24-Jun-21,1625
25-Jun-21,1625
28-Jun-21,1625
29-Jun-21,1625
30-Jun-21,1625
01-Jul-21,1584
02-Jul-21,1584
05-Jul-21,1596
06-Jul-21,1596
07-Jul-21,1596
08-Jul-21,1590
09-Jul-21,1590
12-Jul-21,1608
13-Jul-21,1608
14-Jul-21,1608
15-Jul-21,1608
16-Jul-21,1608
19-Jul-21,1617
20-Jul-21,1617
21-Jul-21,1617
22-Jul-21,1617
23-Jul-21,1617
26-Jul-21,1617
27-Jul-21,1632
28-Jul-21,1634
29-Jul-21,1634
30-Jul-21,1634
02-Aug-21,1632
03-Aug-21,1632
04-Aug-21,1644
05-Aug-21,1644
06-Aug-21,1644
09-Aug-21,1508
10-Aug-21,1544
11-Aug-21,1544
12-Aug-21,1544
13-Aug-21,1544
16-Aug-21,1549
17-Aug-21,1549
18-Aug-21,1549
19-Aug-21,1549
20-Aug-21,1549
23-Aug-21,1549
24-Aug-21,1549
25-Aug-21,1549
26-Aug-21,1600
27-Aug-21,1600
30-Aug-21,1600
31-Aug-21,1600
01-Sep-21,1537
02-Sep-21,1537
03-Sep-21,1537
06-Sep-21,1537
07-Sep-21,1537
08-Sep-21,1503
09-Sep-21,1503
10-Sep-21,1512
13-Sep-21,1501
14-Sep-21,1501
15-Sep-21,1501
16-Sep-21,1501
17-Sep-21,1501
20-Sep-21,1501
21-Sep-21,1459
22-Sep-21,1459
23-Sep-21,1486
24-Sep-21,1486
27-Sep-21,1486
28-Sep-21,1486
29-Sep-21,1482
30-Sep-21,1482
01-Oct-21,1412
04-Oct-21,1402
05-Oct-21,1354
06-Oct-21,1353
07-Oct-21,1352
08-Oct-21,1332
11-Oct-21,1332
12-Oct-21,1332
13-Oct-21,1332
14-Oct-21,1332
15-Oct-21,1332
18-Oct-21,1332
19-Oct-21,1332
20-Oct-21,1332
21-Oct-21,1332
22-Oct-21,1332
25-Oct-21,1332
26-Oct-21,1332
27-Oct-21,1332
28-Oct-21,1332
29-Oct-21,1332
01-Nov-21,1312
02-Nov-21,1290
03-Nov-21,1290
04-Nov-21,1290
05-Nov-21,1290
08-Nov-21,1297
09-Nov-21,1297
10-Nov-21,1297
11-Nov-21,1297
12-Nov-21,1303
15-Nov-21,1328
16-Nov-21,1328
17-Nov-21,1328
18-Nov-21,1328
19-Nov-21,1328
