Date, Price 
25-Feb-20,1800
26-Feb-20,1821
27-Feb-20,1821
28-Feb-20,1821
02-Mar-20,1760
03-Mar-20,1736
04-Mar-20,1716
05-Mar-20,1716
06-Mar-20,1734
09-Mar-20,1706
10-Mar-20,1759
11-Mar-20,1759
12-Mar-20,1745
13-Mar-20,1738
16-Mar-20,1738
17-Mar-20,1738
18-Mar-20,1754
19-Mar-20,1754
20-Mar-20,1754
23-Mar-20,1754
24-Mar-20,1754
25-Mar-20,1754
26-Mar-20,1754
27-Mar-20,1754
30-Mar-20,1754
31-Mar-20,1754
01-Apr-20,1974
02-Apr-20,1983
03-Apr-20,1980
06-Apr-20,1980
07-Apr-20,1988
08-Apr-20,2012
09-Apr-20,2014
10-Apr-20,2014
13-Apr-20,2014
14-Apr-20,2014
15-Apr-20,2014
16-Apr-20,2014
17-Apr-20,2001
20-Apr-20,2001
21-Apr-20,2001
22-Apr-20,2001
23-Apr-20,2001
24-Apr-20,2001
27-Apr-20,2001
28-Apr-20,2001
29-Apr-20,2004
30-Apr-20,2004
01-May-20,2005
04-May-20,2003
05-May-20,2003
06-May-20,2003
07-May-20,2003
08-May-20,1799
11-May-20,1850
12-May-20,1850
13-May-20,1850
14-May-20,1784
15-May-20,1783
18-May-20,1783
19-May-20,1796
20-May-20,1837
21-May-20,1864
22-May-20,1864
25-May-20,1864
26-May-20,1864
27-May-20,1883
28-May-20,1883
29-May-20,1872
01-Jun-20,1872
02-Jun-20,1872
03-Jun-20,1866
04-Jun-20,1866
05-Jun-20,1865
08-Jun-20,1884
09-Jun-20,1884
10-Jun-20,1967
11-Jun-20,1967
12-Jun-20,1950
15-Jun-20,1950
16-Jun-20,1950
17-Jun-20,1943
18-Jun-20,1936
19-Jun-20,1947
22-Jun-20,1947
23-Jun-20,1947
24-Jun-20,1947
25-Jun-20,1947
26-Jun-20,1947
29-Jun-20,1952
30-Jun-20,1951
01-Jul-20,1893
02-Jul-20,1881
03-Jul-20,1891
06-Jul-20,1898
07-Jul-20,1879
08-Jul-20,1859
09-Jul-20,1859
10-Jul-20,1846
13-Jul-20,1846
14-Jul-20,1846
15-Jul-20,1859
16-Jul-20,1859
17-Jul-20,1864
20-Jul-20,1851
21-Jul-20,1823
22-Jul-20,1831
23-Jul-20,1831
24-Jul-20,1831
27-Jul-20,1831
28-Jul-20,1831
29-Jul-20,1830
30-Jul-20,1827
31-Jul-20,1827
03-Aug-20,1786
04-Aug-20,1786
05-Aug-20,1786
06-Aug-20,1786
07-Aug-20,1646
10-Aug-20,1763
11-Aug-20,1787
12-Aug-20,1773
13-Aug-20,1773
14-Aug-20,1773
17-Aug-20,1773
